"","scientificName","phylumid"
"858","Fucus vesiculosus",345465
"859","Wecomedon nobilis",1065
"860","Harpinia truncata",1065
"861","Benthodesmus simonyi",1821
"862","Puncturella noachina",51
"863","Unciola leucopis",1065
"864","Thyasira gouldii",51
"865","Argyropelecus hemigymnus",1821
"866","Psolus squamatus",1806
"867","Ampharete oculata",882
"868","Scoletoma laurentiana",882
"869","Chorda filum",345465
"870","Spirorbis (Spirorbis) spirorbis",882
"871","Pungitius pungitius",1821
"872","Pagurus politus",1065
"873","Lunarca ovalis",51
"874","Chelonia mydas",1821
"875","Symphurus diomedeanus",1821
"876","Rhincalanus cornutus cornutus",1065
"877","Borostomias antarcticus",1821
"878","Anoplodactylus lentus",1065
"879","Pulsellum occidentale",51
"880","Cyclothone microdon",1821
"881","Lobianchia gemellarii",1821
"882","Thysanoessa raschii",1065
"883","Aldrovandia phalacra",1821
"884","Farrea occa",558
"885","Mastocarpus stellatus",852
"886","Tarrhomyos luridus",152391
"887","Synagrops bellus",1821
"888","Psolus fabricii",1806
"889","Capitella capitata",882
"890","Lagenorhynchus albirostris",1821
"891","Callithamnion roseum",852
"892","Nymphon stroemi",1065
"893","Ostrea edulis",51
"894","Scoletoma acicularum",882
"895","Paralepis coregonoides",1821
"896","Chiasmodon niger",1821
"897","Macoma calcarea",51
"898","Ischyrocerus anguipes",1065
"899","Molgula arenata",1821
"900","Leitoscoloplos acutus",882
"901","Retusophiline lima",51
"902","Ectocarpus siliculosus",345465
"903","Spirontocaris spinus",1065
"904","Ophiocten gracilis",1806
"905","Margarites groenlandicus",51
"906","Ophiacantha abyssicola",1806
"907","Pista palmata",882
"908","Microspio pigmentata",882
"909","Busycon carica",51
"910","Ahnfeltia plicata",852
"911","Zoothamnium pelagicum",11
"912","Cylista elegans",1267
"913","Nicolea venustula",882
"914","Lysianopsis alba",1065
"915","Idotea metallica",1065
"916","Pterygioteuthis gemmata",51
"917","Chirona hameri",1065
"918","Mysis mixta",1065
"919","Lucania parva",1821
"920","Leptasterias compta",1806
"921","Stragularia clavata",345465
"922","Pareucalanus sewelli",1065
"923","Maldane sarsi",882
"924","Gammarus annulatus",1065
"925","Cyprinodon variegatus",1821
"926","Menticirrhus saxatilis",1821
"927","Centraloecetes kroyeranus",1065
"928","Priapulus caudatus",101063
"929","Cryptosula pallasiana",146142
"930","Vinciguerria poweriae",1821
"931","Halocypria globosa",1065
"932","Melanothamnus harveyi",852
"933","Leucon (Leucon) americanus",1065
"934","Malacosteus niger",1821
"935","Clytia hemisphaerica",1267
"936","Petalonia fascia",345465
"937","Microdeutopus gryllotalpa",1065
"938","Dumontia contorta",852
"939","Ariomma bondi",1821
"940","Suberites ficus",558
"941","Valenciennellus tripunctulatus",1821
"942","Stereomastis sculpta",1065
"943","Eteone longa",882
"944","Geukensia demissa",51
"945","Cassidulina laevigata",1410
"946","Obelia dichotoma",1267
"947","Diaphus rafinesquii",1821
"948","Discoconchoecia elegans",1065
"949","Dipolydora barbilla",882
"950","Dicrolene introniger",1821
"951","Cystoclonium purpureum",852
"952","Austrominius modestus",1065
"953","Cryptopsaras couesii",1821
"954","Rhodomela confervoides",852
"955","Politolana impressa",1065
"956","Leitoscoloplos mammosus",882
"957","Axius serratus",1065
"958","Parahaustorius attenuatus",1065
"959","Dipolydora concharum",882
"960","Pleuromamma xiphias",1065
"961","Haliclona (Haliclona) oculata",558
"962","Chondrochelia dubia",1065
"963","Leptychaster arcticus",1806
"964","Metridium dianthus",1267
"965","Bugulina stolonifera",146142
"966","Tagelus plebeius",51
"967","Sphyrna lewini",1821
"968","Stereobalanus canadensis",1818
"969","Tripos trichoceros",450030
"970","Apristurus manis",1821
"971","Photostomias guernei",1821
"972","Pneophyllum fragile",852
"973","Stoloteuthis leucoptera",51
"974","Antigonia capros",1821
"975","Trachyrincus murrayi",1821
"976","Cyclothone braueri",1821
"977","Margarites costalis",51
"978","Schizoporella biaperta",146142
"979","Cassidulina teretis",1410
"980","Macroramphosus scolopax",1821
"981","Griffithsia globulifera",852
"982","Opsanus tau",1821
"983","Dyopedos porrectus",1065
"984","Ophiura ljungmani",1806
"985","Echiodon dawsoni",1821
"986","Limulus polyphemus",1065
"987","Halcampa duodecimcirrata",1267
"988","Laryngosigma lactea",1410
"989","Lampanyctus photonotus",1821
"990","Paucibranchia bellii",882
"991","Seila adamsii",51
"992","Typosyllis tegulum",882
"993","Lepidochelys kempii",1821
"994","Noetia ponderosa",51
"995","Robustosergia robusta",1065
"996","Haminella solitaria",51
"997","Megayoldia thraciaeformis",51
"998","Phycodrys rubens",852
"999","Edotia montosa",1065
"1000","Ampelisca abdita",1065
"1001","Ophelina abranchiata",882
"1002","Lyonsia arenosa",51
"1003","Gadila agassizii",51
"1004","Nephtys caeca",882
"1005","Hesionura elongata",882
"1006","Buccella frigida",1410
"1007","Globosolembos smithi",1065
"1008","Tanystylum orbiculare",1065
"1009","Larus hyperboreus",1821
"1010","Onchnesoma steenstrupii",882
"1011","Cribrilina punctata",146142
"1012","Nematocarcinus rotundus",1065
"1013","Lycenchelys paxillus",1821
"1014","Exogone dispar",882
"1015","Derichthys serpentinus",1821
"1016","Nealotus tripes",1821
"1017","Spio pettiboneae",882
"1018","Eclysippe eliasoni",882
"1019","Gersemia rubiformis",1267
"1020","Eucalanus elongatus elongatus",1065
"1021","Callithamnion tetragonum",852
"1022","Dipolydora quadrilobata",882
"1023","Calanus marshallae",1065
"1024","Chiridotea arenicola",1065
"1025","Pontophilus brevirostris",1065
"1026","Capitella jonesi",882
"1027","Sarsia princeps",1267
"1028","Caudina arenata",1806
"1029","Tripos extensus",450030
"1030","Amphiblestrum auritum",146142
"1031","Diplopteraster multipes",1806
"1032","Gorgonocephalus arcticus",1806
"1033","Eulalia viridis",882
"1034","Salpa fusiformis",1821
"1035","Pandora inornata",51
"1036","Siphonoecetes smithianus",1065
"1037","Caberea ellisii",146142
"1038","Pseudarchaster parelii",1806
"1039","Sphyraena borealis",1821
"1040","Carcharodon carcharias",1821
"1041","Pseudosagitta lyra",2081
"1042","Aricidea (Strelzovia) belgicae",882
"1043","Melanostomias bartonbeani",1821
"1044","Neocyttus helgae",1821
"1045","Anchoa hepsetus",1821
"1046","Microgadus tomcod",1821
"1047","Dicarpa simplex",1821
"1048","Costoanachis translirata",51
"1049","Spiochaetopterus costarum oculatus",882
"1050","Tortanus (Boreotortanus) discaudatus",1065
"1051","Astarte montagui",51
"1052","Oxydromus obscurus",882
"1053","Ericthonius difformis",1065
"1054","Xenodermichthys copei",1821
"1055","Pyroteuthis margaritifera",51
"1056","Sundstroemia setigera",148898
"1057","Trifarina fluens",1410
"1058","Laona quadrata",51
"1059","Elphidium excavatum",1410
"1060","Stercorarius longicaudus",1821
"1061","Macoma balthica",51
"1062","Bolinichthys indicus",1821
"1063","Icelus spatula",1821
"1064","Cottunculus microps",1821
"1065","Anoplogaster cornuta",1821
"1066","Morone americana",1821
"1067","Spio limicola",882
"1068","Trachinocephalus myops",1821
"1069","Selar crumenophthalmus",1821
"1070","Alepocephalus bairdii",1821
"1071","Liparis fabricii",1821
"1072","Pygospio elegans",882
"1073","Travisia gravieri",882
"1074","Mediomastus californiensis",882
"1075","Pachycerianthus borealis",1267
"1076","Abraliopsis hoylei",51
"1077","Clymenella mucosa",882
"1078","Americhelidium americanum",1065
"1079","Scoloplos robustus",882
"1080","Terebella verrilli",882
"1081","Lumbrineris bidens",882
"1082","Clavularia modesta",1267
"1083","Phyllodoce maculata",882
"1084","Thalia democratica",1821
"1085","Melinna maculata",882
"1086","Caridion gordoni",1065
"1087","Tripos carriensis",450030
"1088","Cassidulina reniforme",1410
"1089","Laonome kroyeri",882
"1090","Pleusymtes glaber",1065
"1091","Travisia forbesii",882
"1092","Eulalia bilineata",882
"1093","Cuspidaria glacialis",51
"1094","Paralacydonia paradoxa",882
"1095","Gattyana amondseni",882
"1096","Ampelisca verrilli",1065
"1097","Haloclava producta",1267
"1098","Notacanthus chemnitzii",1821
"1099","Clathrina cancellata",558
"1100","Coryphaenoides carapinus",1821
"1101","Aricidea tetrabranchia",882
"1102","Typhlotanais cornutus",1065
"1103","Bicellariella ciliata",146142
"1104","Diogenichthys atlanticus",1821
"1105","Candacia pachydactyla",1065
"1106","Nonionellina labradorica",1410
"1107","Diaphus mollis",1821
"1108","Clytemnestra scutellata",1065
"1109","Pseudoamallothrix ovata",1065
"1110","Salvelinus fontinalis",1821
"1111","Caranx crysos",1821
"1112","Mayerella limicola",1065
"1113","Amphiblestrum trifolium",146142
"1114","Conocara salmoneum",1821
"1115","Sarda sarda",1821
"1116","Propebela harpularia",51
"1117","Eucampia striata",148898
"1118","Balanus balanus",1065
"1119","Stainforthia fusiformis",1410
"1120","Dasmosmilia lymani",1267
"1121","Aluterus schoepfii",1821
"1122","Parasabella microphthalma",882
"1123","Scolecithrix bradyi",1065
"1124","Hansarsia atlantica",1065
"1125","Velutina velutina",51
"1126","Monocorophium insidiosum",1065
"1127","Seriola zonata",1821
"1128","Rhizosolenia delicatula",148898
"1129","Gobiosoma ginsburgi",1821
"1130","Astarte quadrans",51
"1131","Benthoecetes bartletti",1065
"1132","Octopus vulgaris",51
"1133","Cossura soyeri",882
"1134","Corethron criophilum",148898
"1135","Eudendrium dispar",1267
"1136","Bathynectes longispina",1065
"1137","Protomedeia fasciata",1065
"1138","Alaria esculenta",345465
"1139","Mendicula ferruginosa",51
"1140","Typhlonida valida",1065
"1141","Hyperoglyphe perciformis",1821
"1142","Praxillella gracilis",882
"1143","Orcinus orca",1821
"1144","Gammarus mucronatus",1065
"1145","Rajella fyllae",1821
"1146","Scopelosaurus lepidus",1821
"1147","Dolicholagus longirostris",1821
"1148","Aspidosiphon (Akrikos) zinni",882
"1149","Diacria trispinosa",51
"1150","Diaphana minuta",51
"1151","Eucampia zodiacus",148898
"1152","Lauderia annulata",148898
"1153","Trinectes maculatus",1821
"1154","Laetmonice filicornis",882
"1155","Ceratocephale loveni",882
"1156","Semirossia tenera",51
"1157","Ulva intestinalis",801
"1158","Balanus crenatus",1065
"1159","Sclerasterias tanneri",1806
"1160","Amphiblestrum flemingii",146142
"1161","Nephasoma (Nephasoma) diaphanes",882
"1162","Pteroplatytrygon violacea",1821
"1163","Notolychnus valdiviae",1821
"1164","Praxillura longissima",882
"1165","Astropecten cingulatus",1806
"1166","Acanthocarpus alexandri",1065
"1167","Liparis gibbus",1821
"1168","Acanthohaustorius similis",1065
"1169","Triloculina oblonga",1410
"1170","Paraonis pygoenigmatica",882
"1171","Prionospio heterobranchia",882
"1172","Amage tumida",882
"1173","Arthrocladia villosa",345465
"1174","Divalinga quadrisulcata",51
"1175","Mormonilla phasma",1065
"1176","Cladophora sericea",801
"1177","Caprella mutica",1065
"1178","Nephtys squamosa",882
"1179","Parasterope pollex",1065
"1180","Gorgonocephalus eucnemis",1806
"1181","Heteromysis (Heteromysis) formosa",1065
"1182","Cibicidoides pseudoungerianus",1410
"1183","Bolivina subaenariensis",1410
"1184","Benthosema suborbitale",1821
"1185","Syllides japonicus",882
"1186","Tumidotheres maculatus",1065
"1187","Aplidium glabrum",1821
"1188","Ziphius cavirostris",1821
"1189","Chordaria flagelliformis",345465
"1190","Argentina striata",1821
"1191","Pista intermedia",882
"1192","Flabellum (Ulocyathus) alabastrum",1267
"1193","Chaetoderma nitidulum",51
"1194","Abraliopsis morisii",51
"1195","Hyperoodon ampullatus",1821
"1196","Elphidium excavatum subsp. clavatum",1410
"1197","Poroeponides lateralis",1410
"1198","Melicertum octocostatum",1267
"1199","Gaidropsarus ensis",1821
"1200","Caranx hippos",1821
"1201","Labidoplax buskii",1806
"1202","Dictyosiphon foeniculaceus",345465
"1203","Amalopenaeus elegans",1065
"1204","Libinia dubia",1065
"1205","Neocalanus gracilis",1065
"1206","Leptagonus decagonus",1821
"1207","Astarte borealis",51
"1208","Hyperoche medusarum",1065
"1209","Themisto libellula",1065
"1210","Cubiceps pauciradiatus",1821
"1211","Octopoteuthis sicula",51
"1212","Pollichthys mauli",1821
"1213","Spiochaetopterus costarum",882
"1214","Eobrolgus spinosus",1065
"1215","Magnoteuthis magna",51
"1216","Parathyasira equalis",51
"1217","Dactylopterus volitans",1821
"1218","Oceanodroma castro",1821
"1219","Isodictya deichmannae",558
"1220","Myrianida prolifera",882
"1221","Stereomastis nana",1065
"1222","Oncaea mediterranea",1065
"1223","Delectopecten vitreus",51
"1224","Psilaster andromeda florae",1806
"1225","Caprella grahami",1065
"1226","Parapasiphae sulcatifrons",1065
"1227","Propebela exarata",51
"1228","Ampharete setosa",882
"1229","Discanomalina semipunctata",1410
"1230","Ampharete acutifrons",882
"1231","Paraliparis copei",1821
"1232","Hormathia nodosa",1267
"1233","Stegocephalus inflatus",1065
"1234","Macrourus berglax",1821
"1235","Bolocera tuediae",1267
"1236","Callinectes sapidus",1065
"1237","Hydrallmania falcata",1267
"1238","Priacanthus arenatus",1821
"1239","Thunnus atlanticus",1821
"1240","Makaira nigricans",1821
"1241","Andaniopsis nordlandica",1065
"1242","Nymphon brevirostre",1065
"1243","Cyathura polita",1065
"1244","Sertularella polyzonias",1267
"1245","Melamphaes suborbitalis",1821
"1246","Siboglinum ekmani",882
"1247","Argopecten irradians",51
"1248","Leiostomus xanthurus",1821
"1249","Haliphron atlanticus",51
"1250","Tripos minutus",450030
"1251","Scoletoma verrilli",882
"1252","Galeocerdo cuvier",1821
"1253","Epitonium dallianum",51
"1254","Gracilaria multipartita",852
"1255","Amphioplus (Amphioplus) sepultus",1806
"1256","Pandora inflata",51
"1257","Kurtiella planulata",51
"1258","Thouarella (Euthouarella) hilgendorfi",1267
"1259","Lestidiops affinis",1821
"1260","Trochochaeta carica",882
"1261","Lauderia mediterranea",148898
"1262","Agarophyton vermiculophyllum",852
"1263","Calathura brachiata",1065
"1264","Argyropelecus gigas",1821
"1265","Bathysaurus ferox",1821
"1266","Eumicrotremus spinosus",1821
"1267","Onychoteuthis banksii",51
"1268","Syscenus infelix",1065
"1269","Syllis cornuta",882
"1270","Halopteris tenella",1267
"1271","Chirimia biceps biceps",882
"1272","Argopecten irradians irradians",51
"1273","Katsuwonus pelamis",1821
"1274","Lycodes terraenovae",1821
"1275","Monolene sessilicauda",1821
"1276","Parahaustorius longimerus",1065
"1277","Anonyx nugax",1065
"1278","Limatula subauriculata",51
"1279","Balistes capriscus",1821
"1280","Anthomastus agassizii",1267
"1281","Halichondria (Halichondria) bowerbanki",558
"1282","Jerbarnia americana",1065
"1283","Parapagurus pilosimanus",1065
"1284","Patellina corrugata",1410
"1285","Haploops fundiensis",1065
"1286","Titanoderma pustulatum",852
"1287","Apistobranchus typicus",882
"1288","Protomyctophum arcticum",1821
"1289","Einhornia crustulenta",146142
"1290","Cotonopsis lafresnayi",51
"1291","Pteraster pulvillus",1806
"1292","Lophaster furcifer",1806
"1293","Evermannella balbo",1821
"1294","Eusarsiella zostericola",1065
"1295","Ectopleura larynx",1267
"1296","Rondeletia loricata",1821
"1297","Sclerobregma branchiatum",882
"1298","Chaetomorpha melagonium",801
"1299","Corymorpha pendula",1267
"1300","Psolus phantapus",1806
"1301","Pelagia noctiluca",1267
"1302","Apocorophium acutum",1065
"1303","Euprognatha rastellifera",1065
"1304","Kirkegaardia baptisteae",882
"1305","Kirkegaardia tesselata",882
"1306","Membranipora membranacea",146142
"1307","Aonides paucibranchiata",882
"1308","Phyllodoce groenlandica",882
"1309","Cirriformia grandis",882
"1310","Lampanyctus lineatus",1821
"1311","Halichondria (Halichondria) panicea",558
"1312","Alitta virens",882
"1313","Labrospira crassimargo",1410
"1314","Cuspidaria parva",51
"1315","Calocalanus pavo",1065
"1316","Ceramium cimbricum",852
"1317","Synchiropus goodenbeani",1821
"1318","Idunella barnardi",1065
"1319","Haploops tubicola",1065
"1320","Sabinea hystrix",1065
"1321","Paedampharete acutiseries",882
"1322","Mesoplodon bidens",1821
"1323","Curtitoma violacea",51
"1324","Sigmops bathyphilus",1821
"1325","Polysiphonia variegata",852
"1326","Oridorsalis umbonatus",1410
"1327","Palaemon vulgaris",1065
"1328","Notoscopelus caudispinosus",1821
"1329","Turbonilla elegantula",51
"1330","Propebela turricula",51
"1331","Musculus glacialis",51
"1332","Rathbunixa sayana",1065
"1333","Pristigenys alta",1821
"1334","Fedikovella beanii",51
"1335","Deflexilodes intermedius",1065
"1336","Tubulipora liliacea",146142
"1337","Pullenia subcarinata",1410
"1338","Hemiarthrus abdominalis",1065
"1339","Trochochaeta multisetosa",882
"1340","Hypereteone heteropoda",882
"1341","Saphobranchia hirsuta",882
"1342","Pleurogonium spinosissimum",1065
"1343","Mystides borealis",882
"1344","Amphitrite ornata",882
"1345","Undeuchaeta plumosa",1065
"1346","Micronephthys minuta",882
"1347","Sphaerodoridium minutum",882
"1348","Agarum clathratum",345465
"1349","Cladostephus spongiosus f. verticillatus",345465
"1350","Epimeria (Epimeria) loricata",1065
"1351","Caprella linearis",1065
"1352","Tiron spiniferus",1065
"1353","Microsetella norvegica",1065
"1354","Bellerochea malleus",148898
"1355","Ascidia prunum",1821
"1356","Hippocampus erectus",1821
"1357","Modeeria rotunda",1267
"1358","Pseudomma affine",1065
"1359","Cirrophorus brevicirratus",882
"1360","Astrononion hamadaense",1410
"1361","Pleurogonium rubicundum",1065
"1362","Sudis hyalina",1821
"1363","Poromitra capito",1821
"1364","Phascolopsis gouldii",882
"1365","Tubicolixa chaetopterana",1065
"1366","Sclerocrangon boreas",1065
"1367","Lagenammina atlantica",1410
"1368","Gilvossius setimanus",1065
"1369","Bothus ocellatus",1821
"1370","Euphausia eximia",1065
"1371","Actinostola callosa",1267
"1372","Cyclaspis varians",1065
"1373","Unciola spicata",1065
"1374","Aonidella cirrobranchiata",882
"1375","Seirospora interrupta",852
"1376","Alosa mediocris",1821
"1377","Clausocalanus paululus",1065
"1378","Pyrgo ringens",1410
"1379","Myxicola infundibulum",882
"1380","Fissidentalium candidum",51
"1381","Hippolyte zostericola",1065
"1382","Microdeutopus anomalus",1065
"1383","Diaphus metopoclampus",1821
"1384","Myrophis punctatus",1821
"1385","Corethron hystrix",148898
"1386","Bathymedon obtusifrons",1065
"1387","Mallotus villosus",1821
"1388","Blidingia minima",801
"1389","Farrea herdendorfi",558
"1390","Cepphus grylle",1821
"1391","Melita nitida",1065
"1392","Glycinde multidens",882
"1393","Microdeutopus damnoniensis",1065
"1394","Hertwigia falcifera",558
"1395","Chiroteuthis veranii",51
"1396","Coccotylus truncatus",852
"1397","Diastylis abbreviata",1065
"1398","Acanthohaustorius intermedius",1065
"1399","Tripos candelabrum",450030
"1400","Halargyreus johnsonii",1821
"1401","Psenes pellucidus",1821
"1402","Melanella conoidea",51
"1403","Corycaeus speciosus",1065
"1404","Melinna elisabethae",882
"1405","Nymphon longitarse",1065
"1406","Punctaria tenuissima",345465
"1407","Thracia conradi",51
"1408","Colus pubescens",51
"1409","Euspira pallida",51
"1410","Duva florida",1267
"1411","Parametopella cypris",1065
"1412","Rhizosolenia flaccida",148898
"1413","Asbestopluma (Asbestopluma) ruetzleri",558
"1414","Gammaropsis sophiae",1065
"1415","Nephasoma (Nephasoma) eremita",882
"1416","Saccoglossus kowalevskii",1818
"1417","Brania wellfleetensis",882
"1418","Globobulimina auriculata",1410
"1419","Dynamena pumila",1267
"1420","Mendicula pygmaea",51
"1421","Unciola dissimilis",1065
"1422","Actinauge longicornis",1267
"1423","Pseudohaustorius borealis",1065
"1424","Beroe cucumis",1248
"1425","Molpadia borealis",1806
"1426","Platynereis dumerilii",882
"1427","Circeis spirillum",882
"1428","Remora remora",1821
"1429","Eteone spetsbergensis",882
"1430","Notomastus luridus",882
"1431","Hathrometra tenella",1806
"1432","Biasterigerina planorbis",1410
"1433","Mnemiopsis leidyi",1248
"1434","Pseudocalanus elongatus",1065
"1435","Syllides longocirratus",882
"1436","Gyptis vittata",882
"1437","Odontaster hispidus",1806
"1438","Omosudis lowii",1821
"1439","Amphiporeia virginiana",1065
"1440","Tricellaria ternata",146142
"1441","Rouleina attrita",1821
"1442","Exidmonea atlantica",146142
"1443","Gammarus locusta",1065
"1444","Syrrhoe crenulata",1065
"1445","Ascidia obliqua",1821
"1446","Trifarina angulosa",1410
"1447","Symplectoscyphus tricuspidatus",1267
"1448","Aega psora",1065
"1449","Mugil cephalus",1821
"1450","Anthias nicholsi",1821
"1451","Astronesthes niger",1821
"1452","Oncaea ornata",1065
"1453","Cymadusa compta",1065
"1454","Upogebia affinis",1065
"1455","Apistobranchus tullbergi",882
"1456","Cladophora flexuosa",801
"1457","Mugil curema",1821
"1458","Edwardsiella lineata",1267
"1459","Octopoteuthis megaptera",51
"1460","Rhizosolenia truncata",148898
"1461","Ampithoe valida",1065
"1462","Thyonidium drummondii",1806
"1463","Lophius piscatorius",1821
"1464","Laemonema barbatulum",1821
"1465","Caecum cooperi",51
"1466","Coelorinchus caelorhincus",1821
"1467","Boonea seminuda",51
"1468","Harpinia plumosa",1065
"1469","Syllis hyalina",882
"1470","Diaphus perspicillatus",1821
"1471","Miliolinella circularis",1410
"1472","Rhachotropis inflata",1065
"1473","Molpadia oolitica",1806
"1474","Oncaea media",1065
"1475","Ancistrosyllis groenlandica",882
"1476","Pleurotomella packardii",51
"1477","Malletia pianii",51
"1478","Tmetonyx cicada",1065
"1479","Siboglinum pholidotum",882
"1480","Nephtys ciliata",882
"1481","Potamilla neglecta",882
"1482","Lepidonotus sublevis",882
"1483","Caecum pulchellum",51
"1484","Oplophorus spinosus",1065
"1485","Palmiskenea skenei",146142
"1486","Macrosetella gracilis",1065
"1487","Sarsia tubulosa",1267
"1488","Psenes maculatus",1821
"1489","Rocinela americana",1065
"1490","Pelseneeria stimpsonii",51
"1491","Monocorophium acherusicum",1065
"1492","Alteutha depressa",1065
"1493","Diaphus effulgens",1821
"1494","Hygophum reinhardtii",1821
"1495","Howella brodiei",1821
"1496","Scopeloberyx opisthopterus",1821
"1497","Streptosyllis websteri",882
"1498","Polymastia boletiformis",558
"1499","Synodus foetens",1821
"1500","Stephanauge spongicola",1267
"1501","Staurostoma mertensii",1267
"1502","Thysanopoda acutifrons",1065
"1503","Hoeglundina elegans",1410
"1504","Rhizocaulus verticillatus",1267
"1505","Diaphus lucidus",1821
"1506","Anarhichas denticulatus",1821
"1507","Leitoscoloplos fragilis",882
"1508","Tessarabrachion oculatum",1065
"1509","Marphysa leidii",882
"1510","Haplota clavata",146142
"1511","Bulimina marginata",1410
"1512","Urasterias lincki",1806
"1513","Gracilaria tikvahiae",852
"1514","Slabberia strangulata",1267
"1515","Marenzelleria viridis",882
"1516","Spio multioculata",882
"1517","Abyssoninoe winsnesae",882
"1518","Hydrolagus affinis",1821
"1519","Diplospinus multistriatus",1821
"1520","Calocaris templemani",1065
"1521","Sclerodactyla briareus",1806
"1522","Euchone bansei",882
"1523","Elphidium bartletti",1410
"1524","Stephanasterias albula",1806
"1525","Anthomastus grandiflorus",1267
"1526","Ammodytes tobianus",1821
"1527","Clymenura lankesteri",882
"1528","Tharyx killariensis",882
"1529","Hexapanopeus angustifrons",1065
"1530","Cylichna gouldii",51
"1531","Astyris pura",51
"1532","Pareucalanus attenuatus",1065
"1533","Tanseimaruana vestis",882
"1534","Nemertesia antennina",1267
"1535","Triconia borealis",1065
"1536","Syllides fulvus",882
"1537","Anoplodactylus petiolatus",1065
"1538","Cladocarpus flexilis",1267
"1539","Neanthes arenaceodentata",882
"1540","Heliconoides inflatus",51
"1541","Acromegalomma bioculatum",882
"1542","Hansarsia gracilis",1065
"1543","Argis dentata",1065
"1544","Sabinea septemcarinata",1065
"1545","Sigalion arenicola",882
"1546","Vertebrata lanosa",852
"1547","Proceraea cornuta",882
"1548","Thelepus cincinnatus",882
"1549","Porphyra purpurea",852
"1550","Leptocylindrus danicus",148898
"1551","Citharichthys spilopterus",1821
"1552","Fistularia tabacaria",1821
"1553","Hemipodia simplex",882
"1554","Micronephthys minusculus",882
"1555","Cystophora cristata",1821
"1556","Molgula citrina",1821
"1557","Schizoporella unicornis",146142
"1558","Protoptilum carpenterii",1267
"1559","Hyalinoecia tubicola",882
"1560","Yoldiella frigida",51
"1561","Hypereteone lactea",882
"1562","Cardiomya perrostrata",51
"1563","Propebela concinnula",51
"1564","Serratosagitta tasmanica",2081
"1565","Bolinichthys supralateralis",1821
"1566","Patinella verrucaria",146142
"1567","Astrochele lymani",1806
"1568","Aricidea (Aricidea) albatrossae",882
"1569","Wecomedon terranovae",1065
"1570","Diastylis rathkei",1065
"1571","Naucrates ductor",1821
"1572","Plumaria plumosa",852
"1573","Meiodorvillea minuta",882
"1574","Scolelepis (Parascolelepis) bousfieldi",882
"1575","Munidopsis curvirostra",1065
"1576","Miracia efferata",1065
"1577","Melanonus zugmayeri",1821
"1578","Centrobranchus nigroocellatus",1821
"1579","Travisia carnea",882
"1580","Pulsellum bushae",51
"1581","Chiridius gracilis",1065
"1582","Gonothyraea loveni",1267
"1583","Halecium articulosum",1267
"1584","Kophobelemnon stelliferum",1267
"1585","Sympagella nux",558
"1586","Kurtziella cerina",51
"1587","Leathesia marina",345465
"1588","Bugulina simplex",146142
"1589","Pleuromamma piseki",1065
"1590","Callopora craticula",146142
"1591","Alcyonidium parasiticum",146142
"1592","Panomya norvegica",51
"1593","Boreotrophon clathratus",51
"1594","Fargoa gibbosa",51
"1595","Pentacheles laevis",1065
"1596","Carcharhinus plumbeus",1821
"1597","Alepisaurus ferox",1821
"1598","Normichthys operosus",1821
"1599","Alvania pseudoareolata",51
"1600","Sphacelaria cirrosa",345465
"1601","Gonatus fabricii",51
"1602","Ulva clathrata",801
"1603","Caecognathia cerina",1065
"1604","Acipenser oxyrinchus",1821
"1605","Alopias vulpinus",1821
"1606","Penilia avirostris",1065
"1607","Callopora lineata",146142
"1608","Chaetodon ocellatus",1821
"1609","Eumesogrammus praecisus",1821
"1610","Cyclothone alba",1821
"1611","Ampithoe longimana",1065
"1612","Malacocephalus occidentalis",1821
"1613","Strongylura marina",1821
"1614","Notocirrus spiniferus",882
"1615","Dasyscopelus selenops",1821
"1616","Corymorpha glacialis",1267
"1617","Lampanyctus festivus",1821
"1618","Chauliodus danae",1821
"1619","Auchenoplax crinita",882
"1620","Scolelepis (Parascolelepis) tridentata",882
"1621","Paraliparis garmani",1821
"1622","Fargoa bartschi",51
"1623","Acanthephyra eximia",1065
"1624","Sphyrna zygaena",1821
"1625","Acaulis primarius",1267
"1626","Obelia bidentata",1267
"1627","Cyclothone pallida",1821
"1628","Idiacanthus fasciola",1821
"1629","Streblosoma spiralis",882
"1630","Astyris rosacea",51
"1631","Golfingia (Golfingia) elongata",882
"1632","Dentalium agassizi",51
"1633","Leptosiphonia fibrillosa",852
"1634","Escharella immersa",146142
"1635","Eggerelloides advena",1410
"1636","Reophax scorpiurus",1410
"1637","Hygophum taaningi",1821
"1638","Odontosyllis fulgurans",882
"1639","Biddulphia sinensis",148898
"1640","Spio setosa",882
"1641","Physiculus fulvus",1821
"1642","Paracaprella tenuis",1065
"1643","Telopathes magnus",1267
"1644","Polycirrus haematodes",882
"1645","Astarte elliptica",51
"1646","Taonius pavo",51
"1647","Rhizoclonium riparium",801
"1648","Acartia (Acartiura) hudsonica",1065
"1649","Praxillura ornata",882
"1650","Stenothoe minuta",1065
"1651","Notomastus teres",882
"1652","Prionospio aluta",882
"1653","Chelophyes appendiculata",1267
"1654","Pelagodroma marina",1821
"1655","Stylocheiron elongatum",1065
"1656","Monobrachium parasitum",1267
"1657","Atlanta peronii",51
"1658","Pontinus longispinis",1821
"1659","Melampus bidentatus",51
"1660","Fritillaria borealis",1821
"1661","Amblyraja jenseni",1821
"1662","Bolivina spathulata",1410
"1663","Myctophum nitidulum",1821
"1664","Amage auricula",882
"1665","Onoba mighelsii",51
